sample_id,n_sites,n_defects,defect_positions,defect_strength,mean_energy,energy_bandwidth,mean_ipr,max_ipr,transport_descriptor
0,40,1,30,1.811625915033004,0.04529064787582517,4.688597353997884,0.05941775466803014,0.4869584029479746,0.9439147074832168
1,40,3,3;27;32,3.904927171383348,0.292869537853751,6.373694951684432,0.12999019395551253,0.7976770569099864,0.88496343185025
2,40,5,5;20;26;27;29,3.714383456509547,0.46429793206369335,6.905432255011731,0.19238657856694513,0.7815201707449699,0.8386541898197457
3,40,5,14;17;21;23;31,0.3488872988062838,0.043610912350785444,4.06264408119715,0.04507677661599124,0.08401717179927286,0.9568674975613256
4,40,6,6;9;23;28;29;39,3.1356956385876713,0.4703543457881508,6.3313698335617765,0.1700944109208693,0.8153718999294564,0.854631891808624
5,40,5,1;7;13;17;19,3.0045724080404868,0.37557155100506084,5.791464932789472,0.13842229491357178,0.7171728880890901,0.8784086577256635
6,40,3,13;16;36,1.9312676639756508,0.14484507479817382,4.848727265049046,0.0953207918234218,0.5190831109859307,0.9129745435903416
7,40,5,4;6;17;19;26,1.8048924836020899,0.22561156045026123,4.849766367639756,0.11833508932200285,0.485211981264728,0.894186375396891
8,40,1,33,2.8310338978087715,0.0707758474452193,5.457865479658862,0.06689639450871912,0.6807912402986599,0.93729813423962
9,40,1,12,3.345813225441284,0.08364533063603193,5.8856946293282055,0.07809026421189831,0.7453587394032878,0.9275661168603692
10,40,3,15;30;32,2.7617324655024045,0.20712993491268028,5.5803422607128805,0.1200220829266228,0.6706088091352846,0.8928395388303376
11,40,4,5;7;31;32,2.692918340708925,0.26929183407089263,5.947436695500334,0.11223469596333016,0.4316830084792108,0.8990908156608787
12,40,3,10;26;31,2.3180906642162857,0.17385679981622143,5.039140964782812,0.10937907144238117,0.5955948877628721,0.9014051425179944
13,40,1,5,0.5466672867902964,0.01366668216975737,4.059557750231075,0.04158262441438606,0.15678605542723387,0.9600774595891851
14,40,3,18;25;38,3.0834955439224996,0.23126216579418726,5.64943481582803,0.11315812048650868,0.7375934425475936,0.8983449714789372
15,40,4,3;21;23;38,0.2201895548149637,0.022018955481496415,4.016345246707965,0.041418628518532966,0.0864366963690583,0.9602286464018289
16,40,3,8;16;38,3.4282719857458477,0.2571203989309384,5.949700761226017,0.12431766968233529,0.7718551155032495,0.8894283412645644
17,40,1,9,0.32738069258735747,0.008184517314683847,4.0155193727125305,0.03965741996930624,0.09216392493510377,0.9618553004022449
